what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1386167338332
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1386167338345
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1386167338365
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1386167338414
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1386167338416
os,sysinfo,,,"win32",1386167338425
arch,sysinfo,,,"x86",1386167338425
ws,sysinfo,,,"win32",1386167338425
locale,sysinfo,,,"en_US",1386167338425
processors,sysinfo,,,"2",1386167338425
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1386167338425
java.runtime.version,sysinfo,,,"1.7.0_25-b17",1386167338425
java.specification.name,sysinfo,,,"Java Platform API Specification",1386167338425
java.specification.vendor,sysinfo,,,"Oracle Corporation",1386167338425
java.specification.version,sysinfo,,,"1.7",1386167338425
java.vendor,sysinfo,,,"Oracle Corporation",1386167338425
java.version,sysinfo,,,"1.7.0_25",1386167338425
java.vm.info,sysinfo,,,"mixed mode, sharing",1386167338425
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1386167338425
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1386167338425
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1386167338425
java.vm.specification.version,sysinfo,,,"1.7",1386167338425
java.vm.vendor,sysinfo,,,"Oracle Corporation",1386167338425
java.vm.version,sysinfo,,,"23.25-b01",1386167338425
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1386167338628
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1386167338818
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1386167338899
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1386167339277
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1386167339279
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1386167339280
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1386167339528
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1386167339582
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1386167339978
